Iteration,File Group,Num Channels,Channel,Files Sent,Total Size (MB),Time Taken (s),Bandwidth (MB/s)
1,medium,18,Channel 6,0,0.0,0,0.0
1,medium,18,Channel 7,0,0.0,0,0.0
1,medium,18,Channel 8,0,0.0,0,0.0
1,medium,18,Channel 9,0,0.0,0,0.0
1,medium,18,Channel 10,0,0.0,0,0.0
1,medium,18,Channel 11,0,0.0,0,0.0
1,medium,18,Channel 12,0,0.0,0,0.0
1,medium,18,Channel 13,0,0.0,0,0.0
1,medium,18,Channel 14,0,0.0,0,0.0
1,medium,18,Channel 15,0,0.0,0,0.0
1,medium,18,Channel 16,0,0.0,0,0.0
1,medium,18,Channel 17,0,0.0,0,0.0
1,medium,18,Channel 18,0,0.0,0,0.0
1,medium,19,Channel 1,1,33.0,1.4315712451934814,23.051594610326184
1,medium,19,Channel 2,1,36.0,1.5073494911193848,23.882981493074812
1,medium,19,Channel 3,1,13.0,0.730522632598877,17.79547877079693
1,medium,19,Channel 4,1,31.0,1.3795406818389893,22.471247429017907
1,medium,19,Channel 5,1,40.0,1.5317988395690918,26.113089373570975
1,medium,19,Channel 6,0,0.0,0,0.0
1,medium,19,Channel 7,0,0.0,0,0.0
1,medium,19,Channel 8,0,0.0,0,0.0
1,medium,19,Channel 9,0,0.0,0,0.0
1,medium,19,Channel 10,0,0.0,0,0.0
1,medium,19,Channel 11,0,0.0,0,0.0
1,medium,19,Channel 12,0,0.0,0,0.0
1,medium,19,Channel 13,0,0.0,0,0.0
1,medium,19,Channel 14,0,0.0,0,0.0
1,medium,19,Channel 15,0,0.0,0,0.0
1,medium,19,Channel 16,0,0.0,0,0.0
1,medium,19,Channel 17,0,0.0,0,0.0
1,medium,19,Channel 18,0,0.0,0,0.0
1,medium,19,Channel 19,0,0.0,0,0.0
1,medium,20,Channel 1,1,33.0,1.5499584674835205,21.29089307378545
1,medium,20,Channel 2,1,36.0,1.587916612625122,22.671215675793764
1,medium,20,Channel 3,1,13.0,0.6971027851104736,18.64861291285735
1,medium,20,Channel 4,1,31.0,1.4701354503631592,21.086492399283514
1,medium,20,Channel 5,1,40.0,1.5955045223236084,25.070439751399835
1,medium,20,Channel 6,0,0.0,0,0.0
1,medium,20,Channel 7,0,0.0,0,0.0
1,medium,20,Channel 8,0,0.0,0,0.0
1,medium,20,Channel 9,0,0.0,0,0.0
1,medium,20,Channel 10,0,0.0,0,0.0
1,medium,20,Channel 11,0,0.0,0,0.0
1,medium,20,Channel 12,0,0.0,0,0.0
1,medium,20,Channel 13,0,0.0,0,0.0
1,medium,20,Channel 14,0,0.0,0,0.0
1,medium,20,Channel 15,0,0.0,0,0.0
1,medium,20,Channel 16,0,0.0,0,0.0
1,medium,20,Channel 17,0,0.0,0,0.0
1,medium,20,Channel 18,0,0.0,0,0.0
1,medium,20,Channel 19,0,0.0,0,0.0
1,medium,20,Channel 20,0,0.0,0,0.0
1,large,1,Channel 1,2,184.0,1.7667789459228516,104.14432457700035
1,large,2,Channel 1,1,89.0,1.6818366050720215,52.91833923200211
1,large,2,Channel 2,1,95.0,1.7454066276550293,54.42857755595521
1,large,3,Channel 1,1,89.0,1.548628330230713,57.47021300245804
1,large,3,Channel 2,1,95.0,1.5728874206542969,60.39847401187904
1,large,3,Channel 3,0,0.0,0,0.0
1,large,4,Channel 1,1,89.0,1.628282070159912,54.65883438196884
1,large,4,Channel 2,1,95.0,1.6781203746795654,56.61095677843737
1,large,4,Channel 3,0,0.0,0,0.0
1,large,4,Channel 4,0,0.0,0,0.0
1,large,5,Channel 1,1,89.0,1.586789846420288,56.08808261584178
1,large,5,Channel 2,1,95.0,1.578139305114746,60.19747413432084
1,large,5,Channel 3,0,0.0,0,0.0
1,large,5,Channel 4,0,0.0,0,0.0
1,large,5,Channel 5,0,0.0,0,0.0
1,large,6,Channel 1,1,89.0,1.6468424797058105,54.04281289604506
1,large,6,Channel 2,1,95.0,1.7101659774780273,55.55016369820197
1,large,6,Channel 3,0,0.0,0,0.0
1,large,6,Channel 4,0,0.0,0,0.0
1,large,6,Channel 5,0,0.0,0,0.0
1,large,6,Channel 6,0,0.0,0,0.0
1,large,7,Channel 1,1,89.0,1.7103626728057861,52.035747397362705
1,large,7,Channel 2,1,95.0,1.7331762313842773,54.81266029371063
1,large,7,Channel 3,0,0.0,0,0.0
1,large,7,Channel 4,0,0.0,0,0.0
1,large,7,Channel 5,0,0.0,0,0.0
1,large,7,Channel 6,0,0.0,0,0.0
1,large,7,Channel 7,0,0.0,0,0.0
